runId,mode,seed,inflowRate,intelligenceCost,sensingNoise,maxAgents,lookDist,burnIn,measureTicks,maxTicks,tailTicks,survivedTicks,event,max_agentCount,sigmaProxyCumEnd,sigmaProxyDiffCumEnd,sigmaProxyActCumEnd,outflowPhysCum,outflowNumCum,outflowActCum,actHeatMaintCum,actHeatInfoCum,actHeatDivCum,totalUptakeCum,infoCostCum,maintenanceCostCum,divisionCostCum,efficiencyEnd,birthsCum,deathsCum,netCum,meanAbsEnergyResidual,measuredTicks,mean_agentCount_window,mean_sigmaProxyTotal_window,mean_uptake_window,mean_infoCost_window,mean_maintenance_window,mean_divisionCost_window,mean_efficiency_window,mean_births_window,mean_deaths_window,mean_net_window,tailTicksUsed,mean_uptake_tail,mean_infoCost_tail,mean_maintenance_tail,mean_divisionCost_tail,mean_efficiency_tail,mean_births_tail,mean_deaths_tail,mean_net_tail
1,random,1000,0.085,0.200000,0,1000,3,100,300,3000,30,1710,1,10,313.536766,8.356766,305.180000,0.000000,0.000000,305.180000,305.180000,0.000000,0.000000,5.075296,0.000000,305.180000,0.000000,0.016630,0.000000,10.000000,-10.000000,0.000061238236,300,10.000000,0.203784,0.000314,0.000000,0.200000,0.000000,0.001570,0.000000,0.000000,0.000000,30,0.002097,0.000000,0.020000,0.000000,0.104864,0.000000,0.033333,-0.033333
2,informed,1000,0.085,0.200000,0,1000,3,100,300,3000,30,1577,1,10,314.635054,2.129840,312.505214,0.000000,0.000000,312.505214,256.200000,56.305214,0.000000,12.374132,56.305214,256.200000,0.000000,0.039597,0.000000,10.000000,-10.000000,0.000083084767,300,10.000000,0.250297,0.003805,0.046340,0.200000,0.000000,0.015319,0.000000,0.000000,0.000000,30,0.008548,0.004042,0.020000,0.000000,0.355533,0.000000,0.033333,-0.033333
3,random,1001,0.085,0.200000,0,1000,3,100,300,3000,30,1636,1,10,313.182015,6.922015,306.260000,0.000000,0.000000,306.260000,306.260000,0.000000,0.000000,6.162147,0.000000,306.260000,0.000000,0.020121,0.000000,10.000000,-10.000000,0.000059812827,300,10.000000,0.202319,0.004904,0.000000,0.200000,0.000000,0.024520,0.000000,0.000000,0.000000,30,0.000591,0.000000,0.032000,0.000000,0.019426,0.000000,0.066667,-0.066667
4,informed,1001,0.085,0.200000,0,1000,3,100,300,3000,30,1716,1,10,315.064173,1.117695,313.946477,0.000000,0.000000,313.946477,259.760000,54.186477,0.000000,13.830368,54.186477,259.760000,0.000000,0.044053,0.000000,10.000000,-10.000000,0.000067630270,300,10.000000,0.244801,0.007766,0.042043,0.200000,0.000000,0.032053,0.000000,0.000000,0.000000,30,0.008638,0.004036,0.020000,0.000000,0.359351,0.000000,0.033333,-0.033333
5,random,1002,0.085,0.200000,0,1000,3,100,300,3000,30,1591,1,10,313.083540,7.383540,305.700000,0.000000,0.000000,305.700000,305.700000,0.000000,0.000000,5.603401,0.000000,305.700000,0.000000,0.018330,0.000000,10.000000,-10.000000,0.000060716749,300,10.000000,0.203718,0.003879,0.000000,0.200000,0.000000,0.019395,0.000000,0.000000,0.000000,30,0.000132,0.000000,0.028667,0.000000,0.003769,0.000000,0.066667,-0.066667
6,informed,1002,0.085,0.200000,0,1000,3,100,300,3000,30,1744,1,10,315.484912,0.997918,314.486994,0.000000,0.000000,314.486994,260.320000,54.166994,0.000000,14.382789,54.166994,260.320000,0.000000,0.045734,0.000000,10.000000,-10.000000,0.000059721536,300,10.000000,0.245359,0.008180,0.042509,0.200000,0.000000,0.033692,0.000000,0.000000,0.000000,30,0.008440,0.004049,0.020000,0.000000,0.350952,0.000000,0.033333,-0.033333
7,random,1003,0.085,0.200000,0,1000,3,100,300,3000,30,1521,1,10,309.210540,7.510540,301.700000,0.000000,0.000000,301.700000,301.700000,0.000000,0.000000,1.570101,0.000000,301.700000,0.000000,0.005204,0.000000,10.000000,-10.000000,0.000085397547,300,10.000000,0.203780,0.000104,0.000000,0.200000,0.000000,0.000521,0.000000,0.000000,0.000000,30,0.003087,0.000000,0.110000,0.000000,0.051876,0.000000,0.333333,-0.333333
8,informed,1003,0.085,0.200000,0,1000,3,100,300,3000,30,1703,1,10,314.826438,1.987156,312.839282,0.000000,0.000000,312.839282,256.820000,56.019282,0.000000,12.725670,56.019282,256.820000,0.000000,0.040678,0.000000,10.000000,-10.000000,0.000066692306,300,10.000000,0.246963,0.001277,0.043163,0.200000,0.000000,0.005223,0.000000,0.000000,0.000000,30,0.008638,0.004059,0.020000,0.000000,0.359034,0.000000,0.033333,-0.033333
9,random,1004,0.085,0.200000,0,1000,3,100,300,3000,30,1648,1,10,311.139669,6.199669,304.940000,0.000000,0.000000,304.940000,304.940000,0.000000,0.000000,4.823551,0.000000,304.940000,0.000000,0.015818,0.000000,10.000000,-10.000000,0.000070652775,300,10.000000,0.201684,0.007116,0.000000,0.200000,0.000000,0.035581,0.000000,0.000000,0.000000,30,0.000114,0.000000,0.020000,0.000000,0.005698,0.000000,0.033333,-0.033333
10,informed,1004,0.085,0.200000,0,1000,3,100,300,3000,30,1636,1,10,314.623733,1.450964,313.172769,0.000000,0.000000,313.172769,258.400000,54.772769,0.000000,13.027083,54.772769,258.400000,0.000000,0.041597,0.000000,10.000000,-10.000000,0.000089004478,300,10.000000,0.246890,0.006228,0.043468,0.200000,0.000000,0.025442,0.000000,0.000000,0.000000,30,0.008631,0.004048,0.020000,0.000000,0.358928,0.000000,0.033333,-0.033333
