sensingNoise,inflowRate,intelligenceCost,nPairs,costScale,costStart_i,costEnd_i,costStep_i,dMean_survivedTicks,sd_dSurv,ciLo_dSurv,ciHi_dSurv,dMean_sigmaProxyCumEnd,sd_dSigmaProxyCum,ciLo_dSigmaProxyCumEnd,ciHi_dSigmaProxyCumEnd,dMean_sigmaProxyDiffCumEnd,sd_dSigmaProxyDiffCum,ciLo_dSigmaProxyDiffCumEnd,ciHi_dSigmaProxyDiffCumEnd,dMean_sigmaProxyActCumEnd,sd_dSigmaProxyActCum,ciLo_dSigmaProxyActCumEnd,ciHi_dSigmaProxyActCumEnd,dMean_outflowNumCum,sd_dOutflowNumCum,ciLo_dOutflowNumCum,ciHi_dOutflowNumCum,dMean_totalUptakeCum,sd_dUptakeCum,ciLo_dUptakeCum,ciHi_dUptakeCum,dMean_efficiencyEnd,sd_dEffEnd,ciLo_dEffEnd,ciHi_dEffEnd,dMean_birthsCum,sd_dBirthsCum,ciLo_dBirthsCum,ciHi_dBirthsCum,dMean_deathsCum,sd_dDeathsCum,ciLo_dDeathsCum,ciHi_dDeathsCum,dMean_netCum,sd_dNetCum,ciLo_dNetCum,ciHi_dNetCum,dMean_births_window,sd_dBirthsW,ciLo_dBirthsW,ciHi_dBirthsW,dMean_deaths_window,sd_dDeathsW,ciLo_dDeathsW,ciHi_dDeathsW,dMean_net_window,sd_dNetW,ciLo_dNetW,ciHi_dNetW,rmst_random_tau,rmst_informed_tau,dRmst,ciLo_dRmst,ciHi_dRmst,hedgesG_survival_ref,logrank_z,logrank_pApprox
0,0,0.000000,50,1000,0,300,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999700199
0,0,0.050000,50,1000,0,300,50,-72.000000,0.000000,-72.000000,-72.000000,-0.110000,0.000000,-0.110000,-0.110000,0.000000,0.000000,0.000000,0.000000,-0.110000,0.000000,-0.110000,-0.110000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1428.000000,-72.000000,-72.000000,-72.000000,0.000000,9.949874,0.000000000000
0,0,0.100000,50,1000,0,300,50,-137.000000,0.000000,-137.000000,-137.000000,-0.120000,0.000000,-0.120000,-0.120000,0.000000,0.000000,0.000000,0.000000,-0.120000,0.000000,-0.120000,-0.120000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1363.000000,-137.000000,-137.000000,-137.000000,0.000000,9.949874,0.000000000000
0,0,0.150000,50,1000,0,300,50,-196.000000,0.000000,-196.000000,-196.000000,-0.050000,0.000000,-0.050000,-0.050000,0.000000,0.000000,0.000000,0.000000,-0.050000,0.000000,-0.050000,-0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1304.000000,-196.000000,-196.000000,-196.000000,0.000000,9.949874,0.000000000000
0,0,0.200000,50,1000,0,300,50,-251.000000,0.000000,-251.000000,-251.000000,-0.200000,0.000000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,-0.200000,0.000000,-0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1249.000000,-251.000000,-251.000000,-251.000000,0.000000,9.949874,0.000000000000
0,0,0.250000,50,1000,0,300,50,-300.000000,0.000000,-300.000000,-300.000000,0.050000,0.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,0.050000,0.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1200.000000,-300.000000,-300.000000,-300.000000,0.000000,9.949874,0.000000000000
0,0,0.300000,50,1000,0,300,50,-347.000000,0.000000,-347.000000,-347.000000,-0.160000,0.000000,-0.160000,-0.160000,0.000000,0.000000,0.000000,0.000000,-0.160000,0.000000,-0.160000,-0.160000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,1153.000000,-347.000000,-347.000000,-347.000000,0.000000,9.949874,0.000000000000
0,0.005,0.000000,50,1000,0,300,50,3.200000,9.091373,0.840000,5.780000,0.054537,0.175070,0.008974,0.105596,0.000137,0.006994,-0.001872,0.001913,0.054400,0.180342,0.007200,0.106800,0.000000,0.000000,0.000000,0.000000,0.053996,0.174199,0.008959,0.103589,0.000179,0.000579,0.000030,0.000344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1508.540000,1511.740000,3.200000,0.600000,5.960000,0.459312,-2.187871,0.028678913854
0,0.005,0.050000,50,1000,0,300,50,-72.620000,9.240307,-74.960000,-69.980000,-0.013213,0.160478,-0.054660,0.033251,-0.001193,0.006627,-0.003069,0.000490,-0.012020,0.165356,-0.054715,0.035788,0.000000,0.000000,0.000000,0.000000,0.021209,0.169400,-0.022789,0.069793,0.000071,0.000563,-0.000076,0.000232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1508.540000,1435.920000,-72.620000,-75.200000,-69.840000,-10.275341,10.911629,0.000000000000
0,0.005,0.100000,50,1000,0,300,50,-140.260000,8.865917,-142.460000,-137.740000,-0.038811,0.160753,-0.081228,0.007341,-0.002377,0.006308,-0.004137,-0.000761,-0.036435,0.165230,-0.080646,0.010939,0.000000,0.000000,0.000000,0.000000,-0.005396,0.166656,-0.048458,0.042243,-0.000018,0.000554,-0.000161,0.000140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1508.540000,1368.280000,-140.260000,-142.660000,-137.660000,-20.981536,11.001633,0.000000000000
